ተሃድሶውን ትኧህኣድእስኦውእንእ
ብንማርክናችሁ ብእንእምኣርእክእንኣችእህኡ
ከማርክንሽ ክኧምኣርእክእንእሽእ
በአልበምህ ብኧእኧልእብኧምእህእ
የገጠርን ይኧግኧጥኧርእንእ
ለሰበራችሁኝ ልኧስኧብኧርኣችእህኡኝእ
ከድተዋት ክኧድእትኧውኣትእ
ሰበራችኋቸው ስኧብኧርኣችእኋችኧውእ
ኣትሰብራትም እኣትእስኧብእርኣትእምእ
ስለዘረፍክ ስእልኧዝኧርኧፍእክእ
ተዋሰችኝና ትኧውኣስኧችእኝእንኣ
ኣልሰብራቸው እኣልእስኧብእርኣችኧውእ
ከሰበርንህ ክኧስኧብኧርእንእህእ
ከጭፍሮች ክኧጭእፍእርኦችእ
ለጎበኙ ልኧግኦብኧኝኡ
መቅረባቸው ምኧቅእርኧብኣችኧውእ
ለማላቀቅ ልኧምኣልኣቅኧቅእ
ኣትሰባብራት እኣትእስኧብኣብእርኣትእ
እንዲያስደርግ እእንእድኢይኣስእድኧርእግእ
ሉግዘምበርግ ልኡግእዝኧምእብኧርእግእ
ከቀብሪደሀር ክኧቅኧብእርኢድኧህኧርእ
አጣጣል እኧጥኣጥኣልእ
በችሎቱ ብኧችእልኦትኡ
ተጉዞ ትኧግኡዝኦ
በግራህም ብኧግእርኣህእምእ
ሰብረሃል ስኧብእርኧህኣልእ
እንደማርከናቸው እእንእድኧምኣርእክኧንኣችኧውእ
እንድምማረካቸው እእንእድእምእምኣርኧክኣችኧውእ
ለእርቁ ልኧእእርእቅኡ
ዘራቸው ዝኧርኣችኧውእ
ከሰበርሽ ክኧስኧብኧርእሽእ
በመመንገል ብኧምኧምኧንእግኧልእ
የምዘና ይኧምእዝኧንኣ
ዝግጁ ዝእግእጅኡ
የሚያደርጉትን ይኧምኢይኣድኧርእግኡትእንእ
እንደማረኳዎት እእንእድኧምኣርኧኳውኦትእ
ለማበረታት ልኧምኣብኧርኧትኣትእ
መብትና ምኧብእትእንኣ
ያገኙትና ይኣግኧኝኡትእንኣ
ተቆጥቦ ትኧቅኦጥእብኦ
ማኦኮምና ምኣእኦክኦምእንኣ
ማረከንብህ ምኣርኧክኧንእብእህእ
በማለቂያቸው ብኧምኣልኧቅኢይኣችኧውእ
ማወቄም ምኣውኧቅኤምእ
ኪሊን ክኢልኢንእ
ይደመሰሳል ይእድኧምኧስኧስኣልእ
አዳሪነትን እኧድኣርኢንኧትእንእ
ስለሚያስችላቸው ስእልኧምኢይኣስእችእልኣችኧውእ
የሚተነፈስበት ይኧምኢትኧንኧፍኧስእብኧትእ
ልስበርለት ልእስእብኧርእልኧትእ
ሆህያት ህኦህእይኣትእ
ስማረከህ ስእምኣርኧክኧህእ
የቅንጅትና ይኧቅእንእጅእትእንኣ
ስንሰባብረው ስእንእስኧብኣብእርኧውእ
ልማርክ ልእምኣርእክእ
የክሱ ይኧክእስኡ
ምቹ ምእችኡ
ኣትሰብረኝም እኣትእስኧብእርኧኝእምእ
ከምማረከሽ ክኧምእምኣርኧክኧሽእ
ኣልማረኳዎት እኣልእምኣርኧኳውኦትእ
ጠባቂዎች ጥኧብኣቅኢውኦችእ
ከምሰባብርህ ክኧምእስኧብኣብእርእህእ
እማርካለሁ እእምኣርእክኣልኧህኡ
እንሰብርዎታለን እእንእስኧብእርእውኦትኣልኧንእ
እንደማረካት እእንእድኧምኣርኧክኣትእ
እንድምማርከው እእንእድእምእምኣርእክኧውእ
እንደሚደረግና እእንእድኧምኢድኧርኧግእንኣ
የሰርቶ ይኧስኧርእትኦ
ትውልድን ትእውእልእድእንእ
ሀጋስ ህኧግኣስእ
ለአባላቱ ልኧእኧብኣልኣትኡ
በፎቶግራፍ ብኧፍኦትኦግእርኣፍእ
ሰይንት ስኧይእንእትእ
ተሣደቡ ትኧሥኣድኧብኡ
እንደማርከነው እእንእድኧምኣርእክኧንኧውእ
ፈገግታን ፍኧግኧግእትኣንእ
የረዘመውን ይኧርኧዝኧምኧውእንእ
አሻሻለው እኧሽኣሽኣልኧውእ
እንደሚያደናቅፍ እእንእድኧምኢይኣድኧንኣቅእፍእ
ከተሞችን ክኧትኧምኦችእንእ
ከተቆፈረ ክኧትኧቅኦፍኧርኧ
የፀደቀላቸው ይኧፅኧድኧቅኧልኣችኧውእ
ጋይም ግኣይእምእ
ቅጠሉና ቅእጥኧልኡንኣ
ዓመተምህረት ዕኣምኧትኧምእህእርኧትእ
በምክር ብኧምእክእርእ
ኣልማረካችሁ እኣልእምኣርኧክኣችእህኡ
ስለሚወጡ ስእልኧምኢውኧጥኡ
ጠቅሰው ጥኧቅእስኧውእ
እፈልግ እእፍኧልእግእ
ማካሄዳቸውን ምኣክኣህኤድኣችኧውእንእ
ከማርክንህ ክኧምኣርእክእንእህእ
መራጮችም ምኧርኣጭኦችእምእ
እስክማርክላት እእስእክእምኣርእክእልኣትእ
የአገሪቷን ይኧእኧግኧርኢቷንእ
ከለለው ክኧልኧልኧውእ
ብንጓጓለትም ብእንእጓጓልኧትእምእ
በሚመለከይት ብኧምኢምኧልኧክኧይእትእ
ለማነሳሳት ልኧምኣንኧስኣስኣትእ
እንዲሰጣት እእንእድኢስኧጥኣትእ
