ከምሰብርላቸው ክኧምእስኧብእርእልኣችኧውእ
እስክትሰብርላት እእስእክእትእስኧብእርእልኣትእ
ከአምላክሽ ክኧእኧምእልኣክእሽእ
ብሰባብራቸው ብእስኧብኣብእርኣችኧውእ
እንደሰበርሽኝ እእንእድኧስኧብኧርእሽእኝእ
ለማርክንሽ ልኧምኣርእክእንእሽእ
እስክትሰብርልኝ እእስእክእትእስኧብእርእልእኝእ
ይቃኛሉ ይእቅኣኝኣልኡ
አክስቴንሽንና እኧክእስእትኤንእሽእንእንኣ
ከፕሮጀክቶቹም ክኧፕእርኦጅኧክእትኦችኡምእ
የተደቀኑበትን ይኧትኧድኧቅኧንኡብኧትእንእ
ማረከን ምኣርኧክኧንእ
ስማረካችሁ ስእምኣርኧክኣችእህኡ
ዓይናችንና ዕኣይእንኣችእንእንኣ
ማርኩሎት ምኣርእክኡልኦትእ
ብንማርክንሽ ብእንእምኣርእክእንእሽእ
ልማርክላት ልእምኣርእክእልኣትእ
የጌዴኦ ይኧግኤድኤእኦ
ሰበርኩልህ ስኧብኧርእክኡልእህእ
ከምማርክበት ክኧምእምኣርእክእብኧትእ
እሰባብራታለሁ እእስኧብኣብእርኣትኣልኧህኡ
ለለቀቁ ልኧልኧቅኧቅኡ
ከምማርክቤሽ ክኧምእምኣርእክእብኤሽእ
ስበርልኝ ስእብኧርእልእኝእ
የሚሸጡበት ይኧምኢሽኧጥኡብኧትእ
ከእጅ ክኧእእጅእ
ንግስ ንእግእስእ
ከማረኳዋት ክኧምኣርኧኳውኣትእ
ሰባብሬያችሁ ስኧብኣብእርኤይኣችእህኡ
ሲሆንባቸው ስኢህኦንእብኣችኧውእ
ብትሰብሪያት ብእትእስኧብእርኢይኣትእ
ኢየተከፋፈለ እኢይኧትኧክኧፍኣፍኧልኧ
አውግተናል እኧውእግእትኧንኣልእ
ሰበርሽው ስኧብኧርእሽእውእ
በጥብጦ ብኧጥእብእጥኦ
ልትሰብሪው ልእትእስኧብእርኢውእ
ስትሰብሩኝ ስእትእስኧብእርኡኝእ
ትሩነህ ትእርኡንኧህእ
ከማረኩ ክኧምኣርኧክኡ
ስንማርክናቸው ስእንእምኣርእክእንኣችኧውእ
መዘረፋቸውንና ምኧዝኧርኧፍኣችኧውእንእንኣ
የወሰነ ይኧውኧስኧንኧ
ስለታም ስእልኧትኣምእ
ልማርክሽ ልእምኣርእክእሽእ
ፍትሃዊ ፍእትእህኣውኢ
ኣልማረኳት እኣልእምኣርኧኳትእ
እንደሰበርንህ እእንእድኧስኧብኧርእንእህእ
የወባ ይኧውኧብኣ
ሲያሰፍር ስኢይኣስኧፍእርእ
መግለጻችንና ምኧግእልኧጽኣችእንእንኣ
ለሰበራችሁት ልኧስኧብኧርኣችእህኡትእ
በወቅቱም ብኧውኧቅእትኡምእ
ማርኬሽ ምኣርእክኤሽእ
ዮሮፕ ይኦርኦፕእ
እንድምማረከህ እእንእድእምእምኣርኧክኧህእ
የኒውዮርክን ይኧንኢውእይኦርእክእንእ
ያሻል ይኣሽኣልእ
ከአዲኳላ ክኧእኧድኢኳልኣ
ድካሙን ድእክኣምኡንእ
ያስፈጸሙ ይኣስእፍኧጽኧምኡ
ማርክንላቸው ምኣርእክእንእልኣችኧውእ
እንደንማርከናት እእንእድኧንእምኣርእክኧንኣትእ
አባልነት እኧብኣልእንኧትእ
እንደማርከናችሁ እእንእድኧምኣርእክኧንኣችእህኡ
መንደር ምኧንእድኧርእ
መግለጹ ምኧግእልኧጽኡ
ተግባራዊ ትኧግእብኣርኣውኢ
ግጦሽ ግእጥኦሽእ
ከተመረቀበት ክኧትኧምኧርኧቅኧብኧትእ
ማዳበሪያዎች ምኣድኣብኧርኢይኣውኦችእ
ሰብረሽልኝ ስኧብእርኧሽእልእኝእ
ህመምተኛው ህእምኧምእትኧኝኣውእ
ሲያስፈልግ ስኢይኣስእፍኧልእግእ
ማርኬያቸው ምኣርእክኤይኣችኧውእ
እየተንፏቀቀ እእይኧትኧንእፏቅኧቅኧ
ኣልሰበርኳቸው እኣልእስኧብኧርእኳችኧውእ
የሚያቋቁሙት ይኧምኢይኣቋቅኡምኡትእ
አግብቶ እኧግእብእትኦ
ስትሰባብረው ስእትእስኧብኣብእርኧውእ
በደፈረሰበት ብኧድኧፍኧርኧስኧብኧትእ
በስብጥር ብኧስእብእጥእርእ
በሚተገበሩ ብኧምኢትኧግኧብኧርኡ
ከማርክናቸው ክኧምኣርእክእንኣችኧውእ
ሊትር ልኢትእርእ
ሊሳካለት ልኢስኣክኣልኧትእ
ማረክናችኋል ምኣርኧክእንኣችእኋልእ
አደረጃጀቶችን እኧድኧርኧጅኣጅኧትኦችእንእ
እንማርካለን እእንእምኣርእክኣልኧንእ
ሰባብረናችሁ ስኧብኣብእርኧንኣችእህኡ
ያስቀመጥነውን ይኣስእቅኧምኧጥእንኧውእንእ
ለማርክናቸው ልኧምኣርእክእንኣችኧውእ
ኣልማረከብርህ እኣልእምኣርኧክኧብእርእህእ
በመጠኑም ብኧምኧጥኧንኡምእ
የዜጎች ይኧዝኤግኦችእ
እንዳይጠፋብኝና እእንእድኣይእጥኧፍኣብእኝእንኣ
አለነበረም እኧልኧንኧብኧርኧምእ
ለም ልኧምእ
በማማከር ብኧምኣምኣክኧርእ
ሰብረንልህ ስኧብእርኧንእልእህእ
በእናት ብኧእእንኣትእ
ልስበርላቸው ልእስእብኧርእልኣችኧውእ
ተያይዛዋለች ትኧይኣይእዝኣውኣልኧችእ
ስኩዌር ስእክኡውኤርእ
በተሰኙ ብኧትኧስኧኝኡ
ከምትሰብርልን ክኧምእትእስኧብእርእልእንእ
ሰይመዋቸዋል ስኧይእምኧውኣችኧውኣልእ
ከምንማርክ ክኧምእንእምኣርእክእ
የኦሮምኛ ይኧእኦርኦምእኝኣ
የሚከፋፍለን ይኧምኢክኧፍኣፍእልኧንእ
ኣልሰበርኩዎት እኣልእስኧብኧርእክኡውኦትእ
ከሚታይባቸው ክኧምኢትኣይእብኣችኧውእ
ኣልማረኩሽ እኣልእምኣርኧክኡሽእ
ያስፎክራል ይኣስእፍኦክእርኣልእ
የምንመራ ይኧምእንእምኧርኣ
ሰብረህባቸው ስኧብእርኧህእብኣችኧውእ
አይዛችሁ እኧይእዝኣችእህኡ
ተወያዮች ትኧውኧይኣይኦችእ
ማረጋገጫዉ ምኣርኧግኣግኧጭኣውኡ
ማረከልዎት ምኣርኧክኧልእውኦትእ
ልምላሜዋ ልእምእልኣምኤውኣ
ከምትሰብሪባት ክኧምእትእስኧብእርኢብኣትእ
ባለመፃፉ ብኣልኧምኧፅኣፍኡ
ኣትሰባብሩኝ እኣትእስኧብኣብእርኡኝእ
ፖፓዲች ፕኦፕኣድኢችእ
በእንድ ብኧእእንእድእ
ልንሰብራት ልእንእስኧብእርኣትእ
መሰረዝ ምኧስኧርኧዝእ
በመቶው ብኧምኧትኦውእ
ብቸኞች ብእችኧኝኦችእ
ያልተቀበሉ ይኣልእትኧቅኧብኧልኡ
የማጤን ይኧምኣጥኤንእ
እንድሰባብራችሁ እእንእድእስኧብኣብእርኣችእህኡ
ሰብሬባት ስኧብእርኤብኣትእ
ለማይፈልግ ልኧምኣይእፍኧልእግእ
ኣትስበሪ እኣትእስእብኧርኢ
ለማርክናችሁ ልኧምኣርእክእንኣችእህኡ
እንድትሰብሪኝ እእንእድእትእስኧብእርኢኝእ
አጊጠውና እኧግኢጥኧውእንኣ
ካገዱት ክኣግኧድኡትእ
ከማረኩህ ክኧምኣርኧክኡህእ
ብማረካችሁ ብእምኣርኧክኣችእህኡ
እንደማረከብርሽ እእንእድኧምኣርኧክኧብእርእሽእ
ሲገልፅም ስኢግኧልእፅእምእ
ከመተማመን ክኧምኧትኧምኣምኧንእ
ስንማርክንህ ስእንእምኣርእክእንእህእ
ነዎሪዎች ንኧውኦርኢውኦችእ
የቀሰሙትን ይኧቅኧስኧምኡትእንእ
ማረኳት ምኣርኧኳትእ
ኡጋንዳውያንና እኡግኣንእድኣውእይኣንእንኣ
የአጸደ ይኧእኧጽኧድኧ
በማግኘት ብኧምኣግእኝኧትእ
በተፋጠነና ብኧትኧፍኣጥኧንኧንኣ
እንድትሰባብሪኝ እእንእድእትእስኧብኣብእርኢኝእ
ስትሰብሩ ስእትእስኧብእርኡ
ከምሰብሮት ክኧምእስኧብእርኦትእ
ማረኬዎታለሁ ምኣርኧክኤውኦትኣልኧህኡ
ቦረቻ ብኦርኧችኣ
ዐፈርም ዕኧፍኧርእምእ
ስለሚኖራቸው ስእልኧምኢንኦርኣችኧውእ
ማረከበት ምኣርኧክኧብኧትእ
