ሰብረሀናል ስኧብእርኧህኧንኣልእ
ከምሰባብራቸው ክኧምእስኧብኣብእርኣችኧውእ
ልስበርህ ልእስእብኧርእህእ
እንድትሰባብሩኝ እእንእድእትእስኧብኣብእርኡኝእ
ሰበራችኋቸው ስኧብኧርኣችእኋችኧውእ
ሰበርንባችሁ ስኧብኧርእንእብኣችእህኡ
እሰባብረዋለሁ እእስኧብኣብእርኧውኣልኧህኡ
ከምንሰብርዎት ክኧምእንእስኧብእርእውኦትእ
ሰብሬያችሁ ስኧብእርኤይኣችእህኡ
እስክሰብራቸው እእስእክእስኧብእርኣችኧውእ
እስክንሰብርሽ እእስእክእንእስኧብእርእሽእ
ኣትሰባብሩንም እኣትእስኧብኣብእርኡንእምእ
ኣልሰብርሽ እኣልእስኧብእርእሽእ
ኣልሰበርነው እኣልእስኧብኧርእንኧውእ
ትሰባብሪኛለሽ ትእስኧብኣብእርኢኝኣልኧሽእ
ሰበርሽበት ስኧብኧርእሽእብኧትእ
ሰበርሽልኝ ስኧብኧርእሽእልእኝእ
ስበሪብን ስእብኧርኢብእንእ
ኣልሰባብራቸው እኣልእስኧብኣብእርኣችኧውእ
ሰባብራችሁኝ ስኧብኣብእርኣችእህኡኝእ
ለሰበርሽ ልኧስኧብኧርእሽእ
ሰባብሩ ስኧብኣብእርኡ
ሰብረንለት ስኧብእርኧንእልኧትእ
ከምሰብሮት ክኧምእስኧብእርኦትእ
ልስበራት ልእስእብኧርኣትእ
ኣትስበሪያቸው እኣትእስእብኧርኢይኣችኧውእ
ስበሪላቸው ስእብኧርኢልኣችኧውእ
ሰብረን ስኧብእርኧንእ
ኣልሰበርሽ እኣልእስኧብኧርእሽእ
ብንሰብርሽ ብእንእስኧብእርእሽእ
ልስበር ልእስእብኧርእ
ስበሩብኝ ስእብኧርኡብእኝእ
እንስበርህ እእንእስእብኧርእህእ
እስክሰብርላቸው እእስእክእስኧብእርእልኣችኧውእ
ብንሰብራት ብእንእስኧብእርኣትእ
ብትሰባብሩዋቸው ብእትእስኧብኣብእርኡውኣችኧውእ
ሰባብረንህ ስኧብኣብእርኧንእህእ
ሰብረሽባት ስኧብእርኧሽእብኣትእ
ትሰባብሯታላችሁ ትእስኧብኣብእሯትኣልኣችእህኡ
ሰበርነው ስኧብኧርእንኧውእ
ኣይሰበርልህ እኣይእስኧብኧርእልእህእ
ኣልሰበርኩት እኣልእስኧብኧርእክኡትእ
ሰበርኩት ስኧብኧርእክኡትእ
ስትሰባብሩ ስእትእስኧብኣብእርኡ
ኣትሰብሪያቸውም እኣትእስኧብእርኢይኣችኧውእምእ
ትሰብራታለህ ትእስኧብእርኣትኣልኧህእ
ኣትሰበሪልኝ እኣትእስኧብኧርኢልእኝእ
እስክሰባብራት እእስእክእስኧብኣብእርኣትእ
እስክትሰብሪባት እእስእክእትእስኧብእርኢብኣትእ
ልትሰብር ልእትእስኧብእርእ
ሰበራችሁልን ስኧብኧርኣችእህኡልእንእ
ከምትሰብርበት ክኧምእትእስኧብእርእብኧትእ
ልትሰብሩዋቸው ልእትእስኧብእርኡውኣችኧውእ
ከሰበርናት ክኧስኧብኧርእንኣትእ
ከምሰባብር ክኧምእስኧብኣብእርእ
ሰብረሻል ስኧብእርኧሽኣልእ
እንድትሰባብራቸው እእንእድእትእስኧብኣብእርኣችኧውእ
ኣይሰበርልኝ እኣይእስኧብኧርእልእኝእ
እንድንሰብራት እእንእድእንእስኧብእርኣትእ
እንደሰበራችሁን እእንእድኧስኧብኧርኣችእህኡንእ
እስክትሰብሩን እእስእክእትእስኧብእርኡንእ
እንደሰበርሻቸው እእንእድኧስኧብኧርእሽኣችኧውእ
እንድትሰብሩን እእንእድእትእስኧብእርኡንእ
ሰባብረው ስኧብኣብእርኧውእ
ከሰበርናቸው ክኧስኧብኧርእንኣችኧውእ
ከምንሰብርላቸው ክኧምእንእስኧብእርእልኣችኧውእ
ስበርልኝ ስእብኧርእልእኝእ
እሰብረዎታለሁ እእስኧብእርኧውኦትኣልኧህኡ
ሰብሬሃለሁ ስኧብእርኤህኣልኧህኡ
ስበሪልኝ ስእብኧርኢልእኝእ
እንድንሰብርዎት እእንእድእንእስኧብእርእውኦትእ
ሰብራችሁኛል ስኧብእርኣችእህኡኝኣልእ
ሰበርኩልህ ስኧብኧርእክኡልእህእ
ሰብረሀው ስኧብእርኧህኧውእ
ልትሰብረው ልእትእስኧብእርኧውእ
እንስበርሽ እእንእስእብኧርእሽእ
ሰበርሻቸው ስኧብኧርእሽኣችኧውእ
ከሰበርኳዋቸው ክኧስኧብኧርእኳውኣችኧውእ
እንስበርላችሁ እእንእስእብኧርእልኣችእህኡ
እንስበራቸው እእንእስእብኧርኣችኧውእ
እስክትሰብሪለት እእስእክእትእስኧብእርኢልኧትእ
እስክትሰባብራት እእስእክእትእስኧብኣብእርኣትእ
ከምትሰብርላት ክኧምእትእስኧብእርእልኣትእ
ስሰብራችሁ ስእስኧብእርኣችእህኡ
እስክትሰብሪብን እእስእክእትእስኧብእርኢብእንእ
ሰብረሽኛል ስኧብእርኧሽእኝኣልእ
ሰባብራችኋት ስኧብኣብእርኣችእኋትእ
ሰብራችኋት ስኧብእርኣችእኋትእ
ኣትሰብሩም እኣትእስኧብእርኡምእ
ከምትሰብርልን ክኧምእትእስኧብእርእልእንእ
ብሰባብርህ ብእስኧብኣብእርእህእ
እንስበራት እእንእስእብኧርኣትእ
እስክሰባብራቸው እእስእክእስኧብኣብእርኣችኧውእ
እንደሰበርኳት እእንእድኧስኧብኧርእኳትእ
ሰበርንባቸው ስኧብኧርእንእብኣችኧውእ
እስክትሰብሪኝ እእስእክእትእስኧብእርኢኝእ
ኣትሰብሪም እኣትእስኧብእርኢምእ
እስክትሰባብሯት እእስእክእትእስኧብኣብእሯትእ
እስክትሰባብሩት እእስእክእትእስኧብኣብእርኡትእ
ስትሰብሪን ስእትእስኧብእርኢንእ
እስክትሰብሩልን እእስእክእትእስኧብእርኡልእንእ
ሰበርንበት ስኧብኧርእንእብኧትእ
ትሰብራለህ ትእስኧብእርኣልኧህእ
እስክትሰብሪበት እእስእክእትእስኧብእርኢብኧትእ
ሰብረሃቸው ስኧብእርኧህኣችኧውእ
ኣትስበረን እኣትእስእብኧርኧንእ
ሰበርክልን ስኧብኧርእክእልእንእ
ኣልሰባብራችሁ እኣልእስኧብኣብእርኣችእህኡ
ለሰበራችሁ ልኧስኧብኧርኣችእህኡ
እስክትሰባብሩዋቸው እእስእክእትእስኧብኣብእርኡውኣችኧውእ
ኣንሰብርሽም እኣንእስኧብእርእሽእምእ
እንሰባብራለን እእንእስኧብኣብእርኣልኧንእ
ስንሰባብርሽ ስእንእስኧብኣብእርእሽእ
ከሰበርኩ ክኧስኧብኧርእክኡ
ስሰባብርህ ስእስኧብኣብእርእህእ
ከምትሰባብሪን ክኧምእትእስኧብኣብእርኢንእ
ከምሰብራት ክኧምእስኧብእርኣትእ
ኣትስበሪ እኣትእስእብኧርኢ
ብንሰብርዎት ብእንእስኧብእርእውኦትእ
ሰባብረኝ ስኧብኣብእርኧኝእ
ሰበርኩብዎት ስኧብኧርእክኡብእውኦትእ
ስንሰብራቸው ስእንእስኧብእርኣችኧውእ
ብሰባብራት ብእስኧብኣብእርኣትእ
ኣትስበሩ እኣትእስእብኧርኡ
ከሰበርሽ ክኧስኧብኧርእሽእ
ኣልሰበራችኋቸው እኣልእስኧብኧርኣችእኋችኧውእ
ከምሰብርህ ክኧምእስኧብእርእህእ
ብትሰብሩን ብእትእስኧብእርኡንእ
እስክትሰባብሩን እእስእክእትእስኧብኣብእርኡንእ
ሰብሬላችሁ ስኧብእርኤልኣችእህኡ
ከምትሰብራቸው ክኧምእትእስኧብእርኣችኧውእ
ከምንሰብርብዎት ክኧምእንእስኧብእርእብእውኦትእ
ሰበርኩለት ስኧብኧርእክኡልኧትእ
ለሰበርካት ልኧስኧብኧርእክኣትእ
ኣትሰብሪው እኣትእስኧብእርኢውእ
ለሰበርኩዋቸው ልኧስኧብኧርእክኡውኣችኧውእ
እስክትሰብሩዋቸው እእስእክእትእስኧብእርኡውኣችኧውእ
እንሰብርሻለን እእንእስኧብእርእሽኣልኧንእ
ኣልሰበርልህ እኣልእስኧብኧርእልእህእ
ከሰበርከኝ ክኧስኧብኧርእክኧኝእ
ከምሰብርባችሁ ክኧምእስኧብእርእብኣችእህኡ
ከምንሰብርለት ክኧምእንእስኧብእርእልኧትእ
ሰባብሬዎት ስኧብኣብእርኤውኦትእ
እሰባብራቸዋለሁ እእስኧብኣብእርኣችኧውኣልኧህኡ
ስበሪልን ስእብኧርኢልእንእ
እንስበርልህ እእንእስእብኧርእልእህእ
ከምትሰብሪኝ ክኧምእትእስኧብእርኢኝእ
ስትሰብሪያት ስእትእስኧብእርኢይኣትእ
ስሰባብራቸው ስእስኧብኣብእርኣችኧውእ
እንሰብራታለን እእንእስኧብእርኣትኣልኧንእ
እንሰባብርዎታለን እእንእስኧብኣብእርእውኦትኣልኧንእ
ከምትሰብራት ክኧምእትእስኧብእርኣትእ
ኣትሰባብሪያት እኣትእስኧብኣብእርኢይኣትእ
እስክንሰብርላቸው እእስእክእንእስኧብእርእልኣችኧውእ
ስትሰባብረኝ ስእትእስኧብኣብእርኧኝእ
እንደሰበርሽኝ እእንእድኧስኧብኧርእሽእኝእ
ስትሰባብሩኝ ስእትእስኧብኣብእርኡኝእ
ስበሪለት ስእብኧርኢልኧትእ
ስትሰባብራቸው ስእትእስኧብኣብእርኣችኧውእ
ከምሰብርብሽ ክኧምእስኧብእርእብእሽእ
ኣልሰበርንህ እኣልእስኧብኧርእንእህእ
እንሰባብራችኋለን እእንእስኧብኣብእርኣችእኋልኧንእ
ብሰብራችሁ ብእስኧብእርኣችእህኡ
ትሰብሪኛለሽ ትእስኧብእርኢኝኣልኧሽእ
እሰብራቹዋለሁ እእስኧብእርኣችኡውኣልኧህኡ
ሰብረናችሁ ስኧብእርኧንኣችእህኡ
ኣትሰባብሯት እኣትእስኧብኣብእሯትእ
